iter	Passed	Remaining
0	1	193
1	3	176
2	5	170
3	6	162
4	8	157
5	10	159
6	12	159
7	13	157
8	15	155
9	16	151
10	18	148
11	20	149
12	21	146
13	23	144
14	25	142
15	26	140
16	28	139
17	29	136
18	31	134
19	33	132
20	34	130
21	36	128
22	37	126
23	39	124
24	41	123
25	42	121
26	43	117
27	44	115
28	46	113
29	47	111
30	49	109
31	50	108
32	52	106
33	54	104
34	55	103
35	57	102
36	58	100
37	60	98
38	61	96
39	63	95
40	65	93
41	65	90
42	67	89
43	69	87
44	70	86
45	72	84
46	73	83
47	75	81
48	76	79
49	78	78
50	79	76
51	81	75
52	82	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	65
58	91	63
59	92	61
60	94	60
61	96	58
62	97	57
63	99	55
64	100	54
65	102	52
66	104	51
67	105	49
68	107	48
69	109	46
70	110	45
71	112	43
72	113	42
73	115	40
74	117	39
75	119	37
76	120	36
77	122	34
78	124	33
79	125	31
80	127	29
81	128	28
82	130	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	140	17
89	141	15
90	143	14
91	145	12
92	146	11
93	147	9
94	149	7
95	150	6
96	152	4
97	154	3
98	155	1
99	157	0
