iter	Passed	Remaining
0	147	147613
1	149	74699
2	151	50341
3	152	37913
4	154	30673
5	155	25841
6	157	22370
7	159	19739
8	161	17733
9	163	16218
10	165	14868
11	166	13724
12	168	12792
13	170	11985
14	171	11291
15	173	10679
16	175	10162
17	177	9666
18	178	9241
19	180	8823
20	181	8450
21	182	8128
22	184	7838
23	186	7567
24	188	7345
25	190	7141
26	194	6993
27	195	6780
28	197	6597
29	199	6436
30	201	6289
31	202	6140
32	205	6010
33	206	5880
34	208	5741
35	209	5607
36	211	5501
37	213	5394
38	214	5295
39	216	5189
40	218	5100
41	219	5010
42	221	4924
43	222	4828
44	223	4734
45	224	4660
46	226	4590
47	228	4526
48	229	4461
49	231	4399
50	233	4336
51	234	4281
52	236	4229
53	237	4160
54	238	4096
55	239	4037
56	241	3990
57	242	3943
58	244	3895
59	245	3843
60	246	3794
61	247	3745
62	248	3697
63	249	3653
64	250	3610
65	252	3569
66	253	3528
67	254	3492
68	256	3460
69	257	3419
70	258	3379
71	259	3345
72	260	3306
73	261	3268
74	262	3235
75	263	3209
76	265	3182
77	266	3151
78	267	3117
79	268	3085
80	269	3062
81	271	3040
82	272	3010
83	274	2988
84	275	2966
85	277	2949
86	278	2927
87	280	2904
88	281	2880
89	283	2862
90	284	2843
91	286	2826
92	287	2808
93	289	2793
94	291	2775
95	292	2758
96	294	2744
97	296	2727
98	297	2711
99	299	2696
100	301	2684
101	303	2669
102	304	2654
103	306	2639
104	307	2624
105	309	2606
106	310	2588
107	311	2571
108	313	2560
109	314	2545
110	316	2532
111	317	2519
112	319	2509
113	321	2494
114	322	2482
115	323	2467
116	324	2450
117	325	2435
118	327	2424
119	328	2412
120	330	2401
121	331	2388
122	333	2377
123	335	2367
124	336	2356
125	338	2346
126	339	2333
127	340	2322
128	342	2313
129	343	2300
130	345	2291
131	346	2281
132	348	2274
133	350	2264
134	352	2256
135	353	2243
136	354	2234
137	356	2226
138	357	2216
139	359	2207
140	361	2199
141	362	2187
142	363	2179
143	365	2171
144	366	2162
145	368	2154
146	369	2145
147	371	2138
148	372	2130
149	374	2121
150	376	2114
151	377	2106
152	379	2099
153	380	2092
154	382	2084
155	383	2076
156	385	2069
157	386	2061
158	388	2054
159	390	2047
160	391	2038
161	392	2030
162	393	2023
163	395	2016
164	397	2009
165	398	2000
166	399	1990
167	400	1980
168	401	1973
169	403	1968
170	404	1962
171	406	1956
172	407	1950
173	409	1944
174	411	1939
175	412	1931
176	413	1922
177	414	1916
178	416	1911
179	418	1904
180	419	1899
181	421	1894
182	423	1888
183	424	1882
184	425	1876
185	426	1868
186	428	1861
187	428	1852
188	430	1846
189	431	1841
190	433	1836
191	435	1831
192	436	1825
193	438	1820
194	439	1816
195	454	1864
196	456	1859
197	457	1853
198	458	1846
199	460	1841
200	462	1836
201	463	1831
202	465	1827
203	466	1821
204	468	1816
205	469	1811
206	471	1806
207	472	1800
208	474	1794
209	475	1790
210	477	1786
211	479	1781
212	480	1776
213	482	1771
214	483	1765
215	485	1761
216	486	1756
217	487	1749
218	489	1744
219	490	1740
220	492	1735
221	494	1731
222	495	1727
223	497	1722
224	498	1718
225	500	1713
226	501	1708
227	502	1702
228	504	1698
229	506	1695
230	507	1690
231	509	1686
232	511	1682
233	512	1678
234	514	1673
235	515	1669
236	516	1663
237	518	1659
238	519	1654
239	521	1650
240	522	1646
241	524	1642
242	525	1638
243	527	1634
244	528	1629
245	530	1625
246	531	1620
247	533	1617
248	534	1613
249	536	1609
250	537	1605
251	539	1601
252	541	1597
253	542	1593
254	544	1590
255	545	1586
256	547	1582
257	549	1579
258	550	1575
259	552	1571
260	553	1568
261	555	1564
262	557	1561
263	558	1557
264	560	1553
265	561	1549
266	563	1546
267	564	1542
268	566	1539
269	567	1535
270	569	1532
271	571	1529
272	572	1525
273	574	1522
274	575	1518
275	577	1514
276	579	1511
277	580	1507
278	582	1504
279	583	1501
280	585	1497
281	586	1493
282	588	1490
283	589	1486
284	591	1482
285	592	1479
286	594	1475
287	595	1472
288	597	1469
289	598	1465
290	600	1462
291	601	1459
292	603	1456
293	604	1452
294	606	1448
295	607	1445
296	609	1442
297	611	1439
298	612	1436
299	614	1433
300	615	1429
301	617	1426
302	618	1423
303	620	1419
304	621	1415
305	622	1412
306	624	1409
307	625	1406
308	627	1403
309	628	1399
310	630	1396
311	631	1393
312	633	1389
313	634	1386
314	635	1382
315	637	1379
316	638	1375
317	640	1373
318	641	1370
319	643	1367
320	645	1364
321	646	1361
322	648	1358
323	649	1354
324	650	1351
325	652	1349
326	654	1346
327	655	1343
328	657	1340
329	658	1337
330	660	1334
331	661	1331
332	663	1328
333	664	1325
